measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,sort_order,level,parent_id,selectable,value
1,percent who trust in government,97,Argentina,2,Female,1,18 to 39,1.1,1,35,1,0.168561634
1,percent who trust in government,135,Brazil,2,Female,1,18 to 39,1.1,1,35,1,0.159217822
1,percent who trust in government,98,Chile,2,Female,1,18 to 39,1.1,1,35,1,0.126182217
1,percent who trust in government,125,Colombia,2,Female,1,18 to 39,1.1,1,35,1,0.195421363
1,percent who trust in government,141,Egypt,2,Female,1,18 to 39,1.1,1,35,1,0.44286464
1,percent who trust in government,81,Germany,2,Female,1,18 to 39,1.1,1,35,1,0.143690775
1,percent who trust in government,163,India,2,Female,1,18 to 39,1.1,1,35,1,0.357967384
1,percent who trust in government,11,Indonesia,2,Female,1,18 to 39,1.1,1,35,1,0.199467232
1,percent who trust in government,86,Italy,2,Female,1,18 to 39,1.1,1,35,1,0.070859458
1,percent who trust in government,67,Japan,2,Female,1,18 to 39,1.1,1,35,1,0.07190013
1,percent who trust in government,130,Mexico,2,Female,1,18 to 39,1.1,1,35,1,0.27123552
1,percent who trust in government,214,Nigeria,2,Female,1,18 to 39,1.1,1,35,1,0.272121163
1,percent who trust in government,123,Peru,2,Female,1,18 to 39,1.1,1,35,1,0.185254118
1,percent who trust in government,16,Philippines,2,Female,1,18 to 39,1.1,1,35,1,0.345368347
1,percent who trust in government,51,Poland,2,Female,1,18 to 39,1.1,1,35,1,0.041650803
1,percent who trust in government,196,South Africa,2,Female,1,18 to 39,1.1,1,35,1,0.234564778
1,percent who trust in government,92,Spain,2,Female,1,18 to 39,1.1,1,35,1,0.166560609
1,percent who trust in government,155,Türkiye,2,Female,1,18 to 39,1.1,1,35,1,0.270898449
1,percent who trust in government,95,United Kingdom,2,Female,1,18 to 39,1.1,1,35,1,0.105718774
1,percent who trust in government,102,United States of America,2,Female,1,18 to 39,1.1,1,35,1,0.21407853
1,percent who trust in government,20,Viet Nam,2,Female,1,18 to 39,1.1,1,35,1,0.487673359
1,percent who trust in government,97,Argentina,2,Female,2,40 plus,1.1,1,35,1,0.171006475
1,percent who trust in government,135,Brazil,2,Female,2,40 plus,1.1,1,35,1,0.172021819
1,percent who trust in government,98,Chile,2,Female,2,40 plus,1.1,1,35,1,0.152855693
1,percent who trust in government,125,Colombia,2,Female,2,40 plus,1.1,1,35,1,0.177783672
1,percent who trust in government,141,Egypt,2,Female,2,40 plus,1.1,1,35,1,0.433957955
1,percent who trust in government,81,Germany,2,Female,2,40 plus,1.1,1,35,1,0.069223754
1,percent who trust in government,163,India,2,Female,2,40 plus,1.1,1,35,1,0.415578482
1,percent who trust in government,11,Indonesia,2,Female,2,40 plus,1.1,1,35,1,0.253034064
1,percent who trust in government,86,Italy,2,Female,2,40 plus,1.1,1,35,1,0.070329715
1,percent who trust in government,67,Japan,2,Female,2,40 plus,1.1,1,35,1,0.040892133
1,percent who trust in government,130,Mexico,2,Female,2,40 plus,1.1,1,35,1,0.309242282
1,percent who trust in government,214,Nigeria,2,Female,2,40 plus,1.1,1,35,1,0.087703968
1,percent who trust in government,123,Peru,2,Female,2,40 plus,1.1,1,35,1,0.070592251
1,percent who trust in government,16,Philippines,2,Female,2,40 plus,1.1,1,35,1,0.292939216
1,percent who trust in government,51,Poland,2,Female,2,40 plus,1.1,1,35,1,0.120606676
1,percent who trust in government,196,South Africa,2,Female,2,40 plus,1.1,1,35,1,0.17328148
1,percent who trust in government,92,Spain,2,Female,2,40 plus,1.1,1,35,1,0.158588109
1,percent who trust in government,155,Türkiye,2,Female,2,40 plus,1.1,1,35,1,0.257715618
1,percent who trust in government,95,United Kingdom,2,Female,2,40 plus,1.1,1,35,1,0.067832318
1,percent who trust in government,102,United States of America,2,Female,2,40 plus,1.1,1,35,1,0.155040665
1,percent who trust in government,20,Viet Nam,2,Female,2,40 plus,1.1,1,35,1,0.498654037
1,percent who trust in government,97,Argentina,1,Male,1,18 to 39,1.1,1,35,1,0.139581807
1,percent who trust in government,135,Brazil,1,Male,1,18 to 39,1.1,1,35,1,0.154011565
1,percent who trust in government,98,Chile,1,Male,1,18 to 39,1.1,1,35,1,0.146585584
1,percent who trust in government,125,Colombia,1,Male,1,18 to 39,1.1,1,35,1,0.174997414
1,percent who trust in government,141,Egypt,1,Male,1,18 to 39,1.1,1,35,1,0.471877543
1,percent who trust in government,81,Germany,1,Male,1,18 to 39,1.1,1,35,1,0.219668241
1,percent who trust in government,163,India,1,Male,1,18 to 39,1.1,1,35,1,0.474588043
1,percent who trust in government,11,Indonesia,1,Male,1,18 to 39,1.1,1,35,1,0.269460829
1,percent who trust in government,86,Italy,1,Male,1,18 to 39,1.1,1,35,1,0.085888393
